Route,Stop,Stops away,Distance
B57,SMITH ST/UNION ST,5,0.72
B57,SMITH ST/UNION ST,4,0.55
B57,SMITH ST/UNION ST,3,0.5
B57,SMITH ST/UNION ST,3,0.51
B57,SMITH ST/UNION ST,3,0.51
B57,SMITH ST/UNION ST,3,0.51
B57,SMITH ST/UNION ST,2,0.38
B57,SMITH ST/UNION ST,1,0.24
B57,SMITH ST/UNION ST,0,0.16
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,11,1.32
B57,SMITH ST/UNION ST,11,1.32
B57,SMITH ST/UNION ST,10,1.19
B57,SMITH ST/UNION ST,9,1.1
B57,SMITH ST/UNION ST,7,0.87
B57,SMITH ST/UNION ST,6,0.75
B57,SMITH ST/UNION ST,3,0.5
B57,SMITH ST/UNION ST,1,0.22
B57,SMITH ST/UNION ST,0,0.16
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,11,1.54
B57,SMITH ST/UNION ST,11,1.39
B57,SMITH ST/UNION ST,9,1.1
B57,SMITH ST/UNION ST,7,0.96
B57,SMITH ST/UNION ST,7,0.92
B57,SMITH ST/UNION ST,6,0.78
B57,SMITH ST/UNION ST,6,0.75
B57,SMITH ST/UNION ST,4,0.59
B57,SMITH ST/UNION ST,3,0.51
B57,SMITH ST/UNION ST,2,0.31
B57,SMITH ST/UNION ST,1,0.21
B57,SMITH ST/UNION ST,0,0.16
B57,SMITH ST/UNION ST,0,0
B57,SMITH ST/UNION ST,11,1.32
B57,SMITH ST/UNION ST,10,1.2
B57,SMITH ST/UNION ST,10,1.19
B57,SMITH ST/UNION ST,9,1.1
B57,SMITH ST/UNION ST,7,0.96
B57,SMITH ST/UNION ST,7,0.88
B57,SMITH ST/UNION ST,5,0.74
B57,SMITH ST/UNION ST,5,0.69
B57,SMITH ST/UNION ST,4,0.55
B57,SMITH ST/UNION ST,3,0.5
B57,SMITH ST/UNION ST,2,0.33
B57,SMITH ST/UNION ST,0,0.11
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,11,1.54
B57,SMITH ST/UNION ST,11,1.36
B57,SMITH ST/UNION ST,10,1.22
B57,SMITH ST/UNION ST,9,1.17
B57,SMITH ST/UNION ST,8,1.01
B57,SMITH ST/UNION ST,7,0.89
B57,SMITH ST/UNION ST,5,0.74
B57,SMITH ST/UNION ST,5,0.72
B57,SMITH ST/UNION ST,4,0.55
B57,SMITH ST/UNION ST,3,0.51
B57,SMITH ST/UNION ST,1,0.3
B57,SMITH ST/UNION ST,0,0.02
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,11,1.37
B57,SMITH ST/UNION ST,10,1.22
B57,SMITH ST/UNION ST,10,1.19
B57,SMITH ST/UNION ST,8,1.01
B57,SMITH ST/UNION ST,6,0.82
B57,SMITH ST/UNION ST,6,0.75
B57,SMITH ST/UNION ST,5,0.74
B57,SMITH ST/UNION ST,5,0.74
B57,SMITH ST/UNION ST,4,0.58
B57,SMITH ST/UNION ST,3,0.5
B57,SMITH ST/UNION ST,2,0.34
B57,SMITH ST/UNION ST,0,0.17
B57,SMITH ST/UNION ST,0,0.08
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,11,1.54
B57,SMITH ST/UNION ST,11,1.32
B57,SMITH ST/UNION ST,10,1.23
B57,SMITH ST/UNION ST,9,1.1
B57,SMITH ST/UNION ST,7,0.93
B57,SMITH ST/UNION ST,6,0.76
B57,SMITH ST/UNION ST,5,0.74
B57,SMITH ST/UNION ST,5,0.68
B57,SMITH ST/UNION ST,4,0.55
B57,SMITH ST/UNION ST,3,0.51
B57,SMITH ST/UNION ST,2,0.31
B57,SMITH ST/UNION ST,1,0.28
B57,SMITH ST/UNION ST,1,0.19
B57,SMITH ST/UNION ST,0,0.16
B57,SMITH ST/UNION ST,0,0.08
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,11,1.42
B57,SMITH ST/UNION ST,10,1.32
B57,SMITH ST/UNION ST,10,1.22
B57,SMITH ST/UNION ST,9,1.18
B57,SMITH ST/UNION ST,8,1.06
B57,SMITH ST/UNION ST,7,0.86
B57,SMITH ST/UNION ST,6,0.76
B57,SMITH ST/UNION ST,5,0.73
B57,SMITH ST/UNION ST,4,0.59
B57,SMITH ST/UNION ST,4,0.55
B57,SMITH ST/UNION ST,3,0.51
B57,SMITH ST/UNION ST,1,0.26
B57,SMITH ST/UNION ST,0,0.08
B57,SMITH ST/UNION ST,21,2.39
B57,SMITH ST/UNION ST,19,2.12
B57,SMITH ST/UNION ST,17,1.97
B57,SMITH ST/UNION ST,17,1.93
B57,SMITH ST/UNION ST,15,1.78
B57,SMITH ST/UNION ST,13,1.67
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,11,1.34
B57,SMITH ST/UNION ST,11,1.32
B57,SMITH ST/UNION ST,10,1.22
B57,SMITH ST/UNION ST,9,1.15
B57,SMITH ST/UNION ST,7,0.99
B57,SMITH ST/UNION ST,6,0.78
